Reference,Value,Manufacturer,MPN,Quantity,Population_quantity,Category,Footprint,Side,PCB_X_mm,PCB_Y_mm,Rotation_deg,Assembly_note,Native_exclude_from_BOM,Native_exclude_from_CPL
C112,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,28.0,86.0,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C113,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,28.25,81.2,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C114,4.7u / 25V X7R / 10%,TDK,C3216X7R1E475K160AC,1,1,manual,C_1206_3216Metric,bottom,9.9,90.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C115,100n / 50V X7R,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,bottom,12.0,92.75,-90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C116,3.3n / 50V C0G / 5%,Murata,GRM1555C1H332JE01D,1,1,factory,C_0402_1005Metric,bottom,16.5,89.05,-90.0,Factory reflow for true 0402 part; 3.3nF C0G slew timing function unchanged; exact BOM/CPL quote required; quoted factory SMT placement/reflow and joint inspection required,False,False
C201,22u / 25V X5R / 20%,TDK,C3216X5R1E226M160AB,1,1,manual,C_1206_3216Metric,top,17.0,61.75,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C202,22u / 25V X5R / 20%,TDK,C3216X5R1E226M160AB,1,1,manual,C_1206_3216Metric,top,19.7,72.25,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C203,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,11.8,57.7,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C204,22u / 16V X7R / 20%,TDK,C3225X7R1C226M250AC,1,1,manual,C_1210_3225Metric,top,8.15,62.1,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C205,22u / 16V X7R / 20%,TDK,C3225X7R1C226M250AC,1,1,manual,C_1210_3225Metric,top,8.15,65.5,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C206,22u / 16V X7R / 20%,TDK,C3225X7R1C226M250AC,1,1,manual,C_1210_3225Metric,top,8.15,68.9,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C301,100n / 50V X7R / 10%,KEMET / YAGEO,C0805C104K5RACTU,1,1,manual,C_0805_2012Metric,top,18.0,67.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C302,4.7u / 16V X5R / 10%,TDK,C1608X5R1C475K080AC,1,1,manual,C_0603_1608Metric,top,11.5,48.1,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C303,4.7u / 16V X5R / 10%,TDK,C1608X5R1C475K080AC,1,1,manual,C_0603_1608Metric,top,12.0,49.65,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C401,1u / 16V X7R / 10%,KEMET / YAGEO,C0603C105K4RACTU,1,1,manual,C_0603_1608Metric,top,1.299999,23.3,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C402,10n / 50V X7R / 10%,TDK,C1608X7R1H103K080AA,1,1,manual,C_0603_1608Metric,top,1.299999,26.51,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C403,10n / 50V X7R / 10%,TDK,C1608X7R1H103K080AA,1,1,manual,C_0603_1608Metric,top,6.9,32.299999,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C404,1u / 16V X7R / 10%,KEMET / YAGEO,C0603C105K4RACTU,1,1,manual,C_0603_1608Metric,top,12.6,33.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C405,10n / 50V X7R / 10%,TDK,C1608X7R1H103K080AA,1,1,manual,C_0603_1608Metric,top,12.6,34.6,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C406,10n / 50V X7R / 10%,TDK,C1608X7R1H103K080AA,1,1,manual,C_0603_1608Metric,top,10.2,33.0,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C407,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,10.95,28.5,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C408,1u / 16V X7R / 10%,KEMET / YAGEO,C0603C105K4RACTU,1,1,manual,C_0603_1608Metric,top,14.15,28.5,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C409,1u / 16V X7R / 10%,KEMET / YAGEO,C0603C105K4RACTU,1,1,manual,C_0603_1608Metric,top,9.1,36.3,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C501,4.7u / 16V X5R / 10%,TDK,C1608X5R1C475K080AC,1,1,manual,C_0603_1608Metric,top,4.0,42.7,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C502,4.7u / 16V X5R / 10%,TDK,C1608X5R1C475K080AC,1,1,manual,C_0603_1608Metric,top,4.0,48.7,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C503,10n / 50V X7R / 10% / DNP,TDK,C1608X7R1H103K080AA,1,0,DNP,C_0603_1608Metric,top,8.5,46.3,0.0,omit component and paste; no population without revised engineering authorization,False,False
C504,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,8.5,48.1,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C505,1u / 16V X7R / 10%,KEMET / YAGEO,C0603C105K4RACTU,1,1,manual,C_0603_1608Metric,top,9.2,51.5,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C506,10n / 50V X7R / 10%,TDK,C1608X7R1H103K080AA,1,1,manual,C_0603_1608Metric,top,16.649999,34.025,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C507,10n / 50V X7R / 10%,TDK,C1608X7R1H103K080AA,1,1,manual,C_0603_1608Metric,top,6.65,38.1,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C508,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,15.5,38.4,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C509,1u / 16V X7R / 10%,KEMET / YAGEO,C0603C105K4RACTU,1,1,manual,C_0603_1608Metric,top,12.25,38.4,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C601,1u / 25V X7R / 10%,TDK,C2012X7R1E105K125AB,1,1,manual,C_0805_2012Metric,top,19.5,42.1,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C701,22u / 25V X5R / 20%,TDK,C3216X5R1E226M160AB,1,1,manual,C_1206_3216Metric,top,15.1,50.5,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C702,22u / 16V X5R / 20%,TDK,C2012X5R1C226M125AC,1,1,manual,C_0805_2012Metric,top,21.25,54.2,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C703,22u / 16V X5R / 20%,TDK,C2012X5R1C226M125AC,1,1,manual,C_0805_2012Metric,top,19.25,61.3,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C704,1u / 25V X7R / 10%,TDK,C2012X7R1E105K125AB,1,1,manual,C_0805_2012Metric,top,2.25,57.0,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C705,1u / 25V X7R / 10%,TDK,C2012X7R1E105K125AB,1,1,manual,C_0805_2012Metric,top,4.0,60.5,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C706,10n / 50V X7R / 10% / DNP,KEMET / YAGEO,C0805C103K5RACTU,1,0,DNP,C_0805_2012Metric,top,4.0,62.75,0.0,omit component and paste; no population without revised engineering authorization,False,False
C707,100n / 50V X7R / 10%,KEMET / YAGEO,C0805C104K5RACTU,1,1,manual,C_0805_2012Metric,top,21.7,68.925,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C708,100n / 50V X7R / 10%,KEMET / YAGEO,C0805C104K5RACTU,1,1,manual,C_0805_2012Metric,top,4.0,65.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C801,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,5.75,58.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C802,100n / 50V X7R / 10%,TDK,C1608X7R1H104K080AA,1,1,manual,C_0603_1608Metric,top,14.8,57.5,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C803,33n / 50V X7R / 10%,KEMET / YAGEO,C0805C333K5RACTU,1,1,manual,C_0805_2012Metric,top,12.25,69.35,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
C804,1u / 16V X7R / 10%,KEMET / YAGEO,C0603C105K4RACTU,1,1,manual,C_0603_1608Metric,top,17.0,65.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
H1,M2 NPTH 2.30,,,1,0,PCB feature,Mechanical_M2_NPTH_2.30mm,top,25.6,92.0,0.0,,True,True
H2,M2 NPTH 2.30,,,1,0,PCB feature,Mechanical_M2_NPTH_2.30mm,top,4.4,6.0,0.0,,True,True
J101,USB HARNESS: 5V/GND/CC1/CC2/D+/D-,,,1,0,PCB feature,USB_Harness_6P_P1.8mm,top,14.75,97.0,0.0,custom harness solder termination; no standalone board connector; actual wire fit/strain relief pending,False,False
J102,PACK PIGTAIL,,,1,0,PCB feature,Battery_Pigtail_2x22AWG_P4.2_D1.00_Pad1.85,top,14.9,93.0,0.0,custom harness solder termination; no standalone board connector; actual wire fit/strain relief pending,False,True
J103,PACK NTC: 103AT-2,Harwin,M20-9990246,1,1,manual,PinHeader_1x02_P2.54mm_Vertical,top,4.0,77.725,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
J104,ARM: OPEN,Harwin,M20-9990246,1,1,manual,PinHeader_1x02_P2.54mm_Vertical,top,4.0,69.725,0.0,"Fit header; do not fit shunt before commissioning; manual assembly after factory inspection, using iron/hot air and microscope; fit header only, keep charging-arm shunt OPEN",False,False
J301,GUITION JP1 / 2x13,Samtec,HTSW-113-07-L-D-007,1,1,manual,Samtec_HTSW-113-07-L-D-007_P2.54mm_Key7,top,27.265,69.245,180.0,"manual assembly after factory inspection, using iron/hot air and microscope; keyed exact configuration is drawing-derived; availability and remote host power-entry qualification remain holds",False,False
J401,AO2 / 3-pin cable,Harwin,M20-9990346,1,1,manual,PinHeader_1x03_P2.54mm_Vertical,top,4.9,24.46,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
J402,SMB male-centre / Amphenol142138,Amphenol RF,142138,1,1,manual,SMB_Amphenol_142138,top,4.45,16.6,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
J501,MD62 cable / <=30 cm,Harwin,M20-9990346,1,1,manual,PinHeader_1x03_P2.54mm_Vertical,top,4.0,34.96,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
J601,BME280 harness,JST,B4B-XH-A(LF)(SN),1,1,manual,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,top,26.45,21.525,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
J701,ZE07-CO harness,JST,B4B-XH-A(LF)(SN),1,1,manual,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,top,26.45,29.525,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
J801,POWER BUTTON / 1NO,Harwin,M20-9990246,1,1,manual,PinHeader_1x02_P2.54mm_Vertical,top,3.724999,51.5,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
J802,BUTTON LED +/-,Harwin,M20-9990246,1,1,manual,PinHeader_1x02_P2.54mm_Vertical,top,5.725,55.3,90.0,"Keep R804 DNP until button LED voltage/polarity is confirmed; manual assembly after factory inspection, using iron/hot air and microscope",False,False
L101,1u / 74437349010,Würth Elektronik,74437349010,1,1,manual,L_Wurth_74437349010_7050,top,13.5,76.5,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
L201,1.5u / XGL4030-152MEC,Coilcraft,XGL4030-152MEC,1,1,manual,L_Coilcraft_XGL4030,top,13.0,66.0,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
L701,1u / XGL4020-102MEC,Coilcraft,XGL4020-102MEC,1,1,manual,L_Coilcraft_XGL4020,top,19.5,50.65,-90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
Q101,2N7002,Diodes Incorporated,2N7002-7-F,1,1,manual,SOT-23,top,20.0,78.75,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
Q110,DMN2056U-7,Diodes Incorporated,DMN2056U-7,1,1,factory,DMN2056U_SOT23_Diodes_Recommended,top,18.0,89.5,180.0,quoted factory SMT placement/reflow and joint inspection required,False,False
Q111,DMN2056U-7,Diodes Incorporated,DMN2056U-7,1,1,manual,SOT-23,top,20.0,86.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
Q112,DMN2056U-7,Diodes Incorporated,DMN2056U-7,1,1,manual,SOT-23,top,24.75,96.75,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
Q601,BSS138,Diodes Incorporated,BSS138-7-F,1,1,manual,SOT-23,top,19.5,35.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
Q602,BSS138,Diodes Incorporated,BSS138-7-F,1,1,manual,SOT-23,top,20.5,39.2,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R101,5.23k 1%,YAGEO,RC0402FR-075K23L,1,1,factory,R_0402_1005Metric,top,14.85,88.95,0.0,Factory reflow for true 0402 part; exact BOM/CPL quote and inspection required; quoted factory SMT placement/reflow and joint inspection required,False,False
R102,30.1k 1%,YAGEO,RC0603FR-0730K1L,1,1,manual,R_0603_1608Metric,top,10.9,88.25,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R103,300R / 1% / supported ILIM range,YAGEO,RC0603FR-07300RL,1,1,manual,R_0603_1608Metric,top,14.5,87.55,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R104,100k,YAGEO,RC0603FR-07100KL,1,1,manual,R_0603_1608Metric,top,5.0,93.0,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R105,100k,YAGEO,RC0603FR-07100KL,1,1,manual,R_0603_1608Metric,top,5.75,84.25,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R107,10k,YAGEO,RC0603FR-0710KL,1,1,manual,R_0603_1608Metric,top,23.5,75.0,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R110,887k / 1%,YAGEO,RC0603FR-07887KL,1,1,manual,R_0603_1608Metric,top,23.5,73.5,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R111,33k / 1%,YAGEO,RC0603FR-0733KL,1,1,manual,R_0603_1608Metric,top,27.5,77.55,-90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R112,10k / 1%,YAGEO,RC0603FR-0710KL,1,1,manual,R_0603_1608Metric,top,29.0,76.75,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R113,97.6k / 0.1%,YAGEO,RT0603BRD0797K6L,1,1,manual,R_0603_1608Metric,top,26.0,83.25,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R114,10k / 0.1%,YAGEO,RT0603BRD0710KL,1,1,manual,R_0603_1608Metric,top,21.75,92.75,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R115,10k / 0.1%,YAGEO,RT0402BRD0710KL,1,1,factory,R_0402_1005Metric,top,21.4,83.3,-90.0,Factory reflow for true 0402 part; exact BOM/CPL quote and inspection required; quoted factory SMT placement/reflow and joint inspection required,False,False
R116,1k / 0.1%,YAGEO,RT0603BRD071KL,1,1,manual,R_0603_1608Metric,top,7.75,94.75,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R117,100k / 1%,YAGEO,RC0603FR-07100KL,1,1,manual,R_0603_1608Metric,top,28.2,97.0,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R118,100k / 0.1%,YAGEO,RT0402BRD07100KL,1,1,factory,R_0402_1005Metric,top,10.75,91.95,180.0,Factory reflow for true 0402 part; exact BOM/CPL quote and inspection required; quoted factory SMT placement/reflow and joint inspection required,False,False
R119,19.1k / 0.1%,YAGEO,RT0402BRD0719K1L,1,1,factory,R_0402_1005Metric,bottom,5.15,88.15,0.0,Factory reflow for true 0402 part; exact BOM/CPL quote and inspection required; quoted factory SMT placement/reflow and joint inspection required,False,False
R120,10k / 1%,YAGEO,RC0603FR-0710KL,1,1,manual,R_0603_1608Metric,top,1.925,92.75,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R121,34k / 0.1% / 10ppm,Vishay,TNPW060334K0BYEA,1,1,manual,R_0603_1608Metric,bottom,8.75,84.8,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R122,649R / 0.1% / 10ppm,Vishay,TNPW0603649RBYEA,1,1,manual,R_0603_1608Metric,bottom,10.45,87.8,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R123,10k / 0.1% / 10ppm,Vishay,TNPW060310K0BYEA,1,1,manual,R_0603_1608Metric,bottom,13.725,87.6,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R124,21.5k / 0.1% / 25ppm,Vishay,TNPW060321K5BEEA,1,1,manual,R_0603_1608Metric,bottom,16.0,86.35,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R125,10k / 0.1% / 25ppm,Vishay,TNPW060310K0BEEA,1,1,manual,R_0603_1608Metric,bottom,17.75,86.95,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R126,1.65k / 0.1%,Vishay,TNPW06031K65BEEA,1,1,manual,R_0603_1608Metric,bottom,18.75,90.0,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R127,10k / 1%,YAGEO,RC0603FR-0710KL,1,1,manual,R_0603_1608Metric,bottom,10.25,92.75,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R128,100k / 1%,YAGEO,RC0603FR-07100KL,1,1,manual,R_0603_1608Metric,bottom,8.5,92.75,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R201,1.62M 1%,YAGEO,RC0603FR-071M62L,1,1,manual,R_0603_1608Metric,top,8.8,59.75,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R202,180k 1%,YAGEO,RC0603FR-07180KL,1,1,manual,R_0603_1608Metric,top,8.8,58.05,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R203,100k,YAGEO,RC0603FR-07100KL,1,1,manual,R_0603_1608Metric,top,4.25,67.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R301,10k,YAGEO,RC0603FR-0710KL,1,1,manual,R_0603_1608Metric,top,11.95,71.15,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R302,4.7k / FIT,YAGEO,RC0603FR-074K7L,1,1,manual,R_0603_1608Metric,top,3.4,83.5,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R303,4.7k / FIT,YAGEO,RC0603FR-074K7L,1,1,manual,R_0603_1608Metric,top,19.5,64.5,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R401,100R / 0.1%,YAGEO,RT0603BRD07100RL,1,1,manual,R_0603_1608Metric,top,8.25,25.5,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R402,100R / 0.1%,YAGEO,RT0603BRD07100RL,1,1,manual,R_0603_1608Metric,top,12.5,18.5,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R403,1M / 1%,YAGEO,RC0603FR-071ML,1,1,manual,R_0603_1608Metric,top,1.3,29.759999,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R404,1M / 1%,YAGEO,RC0603FR-071ML,1,1,manual,R_0603_1608Metric,top,1.3,33.0,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R405,100R / 0.1%,YAGEO,RT0603BRD07100RL,1,1,manual,R_0603_1608Metric,top,15.0,33.0,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R406,100R / 0.1%,YAGEO,RT0603BRD07100RL,1,1,manual,R_0603_1608Metric,top,1.3,36.3,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R407,1M / 1%,YAGEO,RC0603FR-071ML,1,1,manual,R_0603_1608Metric,top,10.95,30.25,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R408,1M / 1%,YAGEO,RC0603FR-071ML,1,1,manual,R_0603_1608Metric,top,14.15,30.25,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R409,10k / 0.1%,YAGEO,RT0603BRD0710KL,1,1,manual,R_0603_1608Metric,top,12.25,36.3,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R410,10k / 0.1%,YAGEO,RT0603BRD0710KL,1,1,manual,R_0603_1608Metric,top,15.5,36.4,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R501,100k,YAGEO,RC0603FR-07100KL,1,1,manual,R_0603_1608Metric,top,2.2,54.2,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R504,10k / 0.1%,YAGEO,RT0603BRD0710KL,1,1,manual,R_0603_1608Metric,bottom,18.25,48.0,180.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R505,10k / 0.1%,YAGEO,RT0603BRD0710KL,1,1,manual,R_0603_1608Metric,top,22.0,44.75,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R506,680R / 0.1%,YAGEO,RT0603BRD07680RL,1,1,manual,R_0603_1608Metric,top,9.0,38.4,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R507,680R / 0.1%,YAGEO,RT0603BRD07680RL,1,1,manual,R_0603_1608Metric,top,3.75,32.25,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R601,0R / fit: 3.3 V,YAGEO,RC0603JR-070RL,1,1,manual,R_0603_1608Metric,top,1.25,60.5,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R602,0R / DNP: 5 V option,YAGEO,RC0603JR-070RL,1,0,DNP,R_0603_1608Metric,top,1.25,63.75,90.0,omit component and paste; no population without revised engineering authorization,False,False
R603,4.7k / DNP,YAGEO,RC0603FR-074K7L,1,0,DNP,R_0603_1608Metric,top,1.25,67.0,90.0,omit component and paste; no population without revised engineering authorization,False,False
R604,4.7k / DNP,YAGEO,RC0603FR-074K7L,1,0,DNP,R_0603_1608Metric,top,1.25,70.25,90.0,omit component and paste; no population without revised engineering authorization,False,False
R701,787k / 0.1%,YAGEO,RT0603BRD07787KL,1,1,manual,R_0603_1608Metric,top,17.05,56.2,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R702,100k / 0.1%,YAGEO,RT0402BRD07100KL,1,1,factory,R_0402_1005Metric,top,18.8,54.25,90.0,Factory reflow for true0402; exact100k0.1% value retained; quoted factory SMT placement/reflow and joint inspection required,False,False
R703,100k,YAGEO,RC0603FR-07100KL,1,1,manual,R_0603_1608Metric,top,21.0,63.25,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R704,100R,YAGEO,RC0603FR-07100RL,1,1,manual,R_0603_1608Metric,top,24.75,33.4,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R705,100R,YAGEO,RC0603FR-07100RL,1,1,manual,R_0603_1608Metric,top,28.0,33.4,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R801,5.1k,YAGEO,RC0603FR-075K1L,1,1,manual,R_0603_1608Metric,top,4.75,75.0,0.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R802,10k,YAGEO,RC0603FR-0710KL,1,1,manual,R_0603_1608Metric,top,1.25,73.5,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R803,100k,YAGEO,RC0603FR-07100KL,1,1,manual,R_0603_1608Metric,top,1.25,81.25,90.0,"manual assembly after factory inspection, using iron/hot air and microscope",False,False
R804,1k / DNP,YAGEO,RC0603FR-071KL,1,0,DNP,R_0603_1608Metric,top,1.25,76.75,90.0,omit component and paste; no population without revised engineering authorization,False,False
RN501,2x2k / 1:1 matched,Vishay Beyschlag,ACASN2001U2001P1AT,1,1,factory,Vishay_ACAS0606_AT_IEC,top,7.2,40.9,0.0,quoted factory SMT placement/reflow and joint inspection required,False,False
TP1001,GND,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,21.751277,66.0,0.0,,True,True
TP1002,USB_5V,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,23.001277,83.0,0.0,,True,True
TP1003,PACK_P,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,21.501277,90.25,0.0,,True,True
TP1004,VSYS,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,21.5,95.5,0.0,,True,True
TP1005,VOUT_5V,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,15.0,70.5,0.0,,True,True
TP1006,HOST_3V3,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,top,22.601277,35.4,0.0,,True,True
TP1007,POWER_EN,,,1,0,PCB feature,TestPoint_Pad_D1.0mm,bottom,21.001277,60.75,180.0,,True,True
