event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
115,13.6,13.5,4772,0,0.0,
117,13.8,13.7,4772,0,0.0,
119,14.0,13.9,4772,0,0.0,
120,14.2,14.1,4772,0,0.0,
121,14.4,14.3,4772,0,0.0,
123,14.6,14.5,7136,0,0.0,
125,14.8,14.7,7136,0,0.0,
126,15.0,14.9,7136,0,0.0,
127,15.2,15.1,7136,0,0.0,
129,15.4,15.3,7136,0,0.0,
131,15.6,15.5,7136,0,0.0,
133,15.8,15.7,7136,0,0.0,
134,16.0,15.9,7136,0,0.0,
136,16.2,16.1,7136,0,0.0,
138,16.4,16.3,7136,0,0.0,
140,16.6,16.5,6458,0,0.0,
141,16.8,16.7,6458,0,0.0,
142,17.0,16.9,6458,0,0.0,
144,17.2,17.1,6614,0,0.0,
146,17.4,17.3,6614,0,0.0,
148,17.6,17.5,6614,0,0.0,
150,17.8,17.7,6598,0,0.0,
151,18.0,17.9,6582,0,0.0,
152,18.2,18.1,6570,0,0.0,
153,18.4,18.3,6558,0,0.0,
154,18.6,18.5,5216,0,0.0,
155,18.8,18.7,5208,0,0.0,
156,19.0,18.9,5204,0,0.0,
157,19.2,19.1,5044,0,0.0,
159,19.4,19.3,5036,0,0.0,
161,19.6,19.5,5032,0,0.0,
162,19.8,19.7,5028,0,0.0,
163,20.0,19.9,5024,0,0.0,
165,20.2,20.1,5020,0,0.0,
167,20.4,20.3,5020,0,0.0,
168,20.6,20.5,5016,0,0.0,
169,20.8,20.7,5012,0,0.0,
171,21.0,20.9,5012,0,0.0,
173,21.2,21.1,5012,0,0.0,
174,21.4,21.3,5012,0,0.0,
175,21.6,21.5,5008,0,0.0,
177,21.8,21.7,5008,0,0.0,
179,22.0,21.9,4916,0,0.0,
180,22.2,22.1,4912,0,0.0,
181,22.4,22.3,4908,0,0.0,
182,22.6,22.5,4908,0,0.0,
184,22.8,22.7,4912,0,0.0,
186,23.0,22.9,4912,0,0.0,
187,23.2,23.1,4912,0,0.0,
189,23.4,23.3,4912,0,0.0,
191,23.6,23.5,4916,0,0.0,
193,23.8,23.7,4920,0,0.0,
194,24.0,23.9,4920,0,0.0,
196,24.2,24.1,4924,0,0.0,
198,24.4,24.3,4928,0,0.0,
200,24.6,24.5,4932,0,0.0,
201,24.8,24.7,4936,0,0.0,
203,25.0,24.9,4944,0,0.0,
205,25.2,25.1,4944,0,0.0,
206,25.4,25.3,4936,0,0.0,
207,25.6,25.5,4936,0,0.0,
208,25.8,25.7,4936,0,0.0,
209,26.0,25.9,4944,0,0.0,
210,26.2,26.1,4950,0,0.0,
211,26.4,26.3,4962,0,0.0,
212,26.6,26.5,4974,0,0.0,
214,26.8,26.7,4972,0,0.0,
216,27.0,26.9,4968,0,0.0,
218,27.2,27.1,4964,0,0.0,
219,27.4,27.3,4962,0,0.0,
220,27.6,27.5,4960,0,0.0,
222,27.8,27.7,4958,0,0.0,
224,28.0,27.9,4956,0,0.0,
226,28.2,28.1,4886,0,0.0,
227,28.4,28.3,4884,0,0.0,
228,28.6,28.5,4882,0,0.0,
230,28.8,28.7,4882,0,0.0,
232,29.0,28.9,4880,0,0.0,
233,29.2,29.1,4880,0,0.0,
235,29.4,29.3,4878,0,0.0,
237,29.6,29.5,4876,0,0.0,
238,29.8,29.7,4876,0,0.0,
239,30.0,29.9,4880,0,0.0,
240,30.2,30.1,5180,0,0.0,
242,30.4,30.3,5270,0,0.0,
244,30.6,30.5,5270,0,0.0,
245,30.8,30.7,5270,0,0.0,
247,31.0,30.9,5270,0,0.0,
249,31.2,31.1,5270,0,0.0,
251,31.4,31.3,5270,0,0.0,
252,31.6,31.5,5270,0,0.0,
254,31.8,31.7,5270,0,0.0,
256,32.0,31.9,5272,0,0.0,
258,32.2,32.1,5272,0,0.0,
259,32.4,32.3,5272,0,0.0,
261,32.6,32.5,5272,0,0.0,
263,32.8,32.7,5274,0,0.0,
264,33.0,32.9,5270,0,0.0,
265,33.2,33.1,5494,0,0.0,
267,33.4,33.3,5496,0,0.0,
269,33.6,33.5,5496,0,0.0,
270,33.8,33.7,5498,0,0.0,
272,34.0,33.9,5500,0,0.0,
274,34.2,34.1,5566,0,0.0,
276,34.4,34.3,5568,0,0.0,
277,34.6,34.5,5570,0,0.0,
279,34.8,34.7,5572,0,0.0,
281,35.0,34.9,5574,0,0.0,
283,35.2,35.1,5578,0,0.0,
284,35.4,35.3,5582,0,0.0,
286,35.6,35.5,5584,0,0.0,
288,35.8,35.7,5588,0,0.0,
289,36.0,35.9,5592,0,0.0,
290,36.2,36.1,4824,0,0.0,
291,36.4,36.3,4828,0,0.0,
292,36.6,36.5,4836,0,0.0,
293,36.8,36.7,4844,0,0.0,
294,37.0,36.9,4856,0,0.0,
295,37.2,37.1,4862,0,0.0,
296,37.4,37.3,4862,0,0.0,
297,37.6,37.5,4862,0,0.0,
298,37.8,37.7,4862,0,0.0,
299,38.0,37.9,4740,0,0.0,
300,38.2,38.1,4740,0,0.0,
301,38.4,38.3,4740,0,0.0,
302,38.6,38.5,4740,0,0.0,
303,38.8,38.7,4740,0,0.0,
304,39.0,38.9,4740,0,0.0,
305,39.2,39.1,4156,0,0.0,
306,39.4,39.3,4156,0,0.0,
307,39.6,39.5,4156,0,0.0,
308,39.8,39.7,4156,0,0.0,
309,40.0,39.9,4156,0,0.0,
310,40.2,40.1,4156,0,0.0,
311,40.4,40.3,4156,0,0.0,
312,40.6,40.5,4156,0,0.0,
