length_mm,temperature_C,hypothetical_contact_resistance_per_end_ohm,current_5V_A,current_each_supply_A,current_each_ground_A,wire_resistance_ohm,loop_resistance_ohm,loop_drop_mV,loop_heating_W,evidence_class
101.6,20,0,0.5,0.25,0.16666666666666666,0.02273333333333333,0.01894444444444444,9.47222222222222,0.00473611111111111,conditional arithmetic; not guaranteed bound
101.6,85,0,1,0.5,0.3333333333333333,0.02854056333333333,0.023783802777777772,23.783802777777773,0.023783802777777772,conditional arithmetic; not guaranteed bound
101.6,85,0,1.5,0.75,0.5,0.02854056333333333,0.023783802777777772,35.675704166666655,0.05351355624999999,conditional arithmetic; not guaranteed bound
101.6,85,0,2,1.0,0.6666666666666666,0.02854056333333333,0.023783802777777772,47.567605555555545,0.09513521111111109,conditional arithmetic; not guaranteed bound
101.6,85,0.02,0.5,0.25,0.16666666666666666,0.02854056333333333,0.057117136111111105,28.558568055555554,0.014279284027777776,conditional arithmetic; not guaranteed bound
101.6,85,0.02,1,0.5,0.3333333333333333,0.02854056333333333,0.057117136111111105,57.11713611111111,0.057117136111111105,conditional arithmetic; not guaranteed bound
101.6,85,0.02,1.5,0.75,0.5,0.02854056333333333,0.057117136111111105,85.67570416666666,0.12851355625,conditional arithmetic; not guaranteed bound
101.6,85,0.02,2,1.0,0.6666666666666666,0.02854056333333333,0.057117136111111105,114.23427222222222,0.22846854444444442,conditional arithmetic; not guaranteed bound
104.775,20,0,0.5,0.25,0.16666666666666666,0.023443750000000003,0.019536458333333333,9.768229166666666,0.004884114583333333,conditional arithmetic; not guaranteed bound
104.775,20,0,1,0.5,0.3333333333333333,0.023443750000000003,0.019536458333333333,19.536458333333332,0.019536458333333333,conditional arithmetic; not guaranteed bound
104.775,20,0,1.5,0.75,0.5,0.023443750000000003,0.019536458333333333,29.3046875,0.04395703125,conditional arithmetic; not guaranteed bound
104.775,20,0,2,1.0,0.6666666666666666,0.023443750000000003,0.019536458333333333,39.072916666666664,0.07814583333333333,conditional arithmetic; not guaranteed bound
104.775,20,0.02,0.5,0.25,0.16666666666666666,0.023443750000000003,0.052869791666666666,26.434895833333332,0.013217447916666666,conditional arithmetic; not guaranteed bound
104.775,20,0.02,1,0.5,0.3333333333333333,0.023443750000000003,0.052869791666666666,52.869791666666664,0.052869791666666666,conditional arithmetic; not guaranteed bound
104.775,20,0.02,1.5,0.75,0.5,0.023443750000000003,0.052869791666666666,79.3046875,0.11895703125,conditional arithmetic; not guaranteed bound
104.775,20,0.02,2,1.0,0.6666666666666666,0.023443750000000003,0.052869791666666666,105.73958333333333,0.21147916666666666,conditional arithmetic; not guaranteed bound
104.775,60,0,0.5,0.25,0.16666666666666666,0.027129107500000003,0.022607589583333334,11.303794791666666,0.0056518973958333335,conditional arithmetic; not guaranteed bound
104.775,60,0,1,0.5,0.3333333333333333,0.027129107500000003,0.022607589583333334,22.607589583333333,0.022607589583333334,conditional arithmetic; not guaranteed bound
104.775,60,0,1.5,0.75,0.5,0.027129107500000003,0.022607589583333334,33.911384375000004,0.0508670765625,conditional arithmetic; not guaranteed bound
104.775,60,0,2,1.0,0.6666666666666666,0.027129107500000003,0.022607589583333334,45.215179166666665,0.09043035833333334,conditional arithmetic; not guaranteed bound
104.775,60,0.02,0.5,0.25,0.16666666666666666,0.027129107500000003,0.05594092291666667,27.970461458333336,0.013985230729166668,conditional arithmetic; not guaranteed bound
104.775,60,0.02,1,0.5,0.3333333333333333,0.027129107500000003,0.05594092291666667,55.94092291666667,0.05594092291666667,conditional arithmetic; not guaranteed bound
104.775,60,0.02,1.5,0.75,0.5,0.027129107500000003,0.05594092291666667,83.91138437500001,0.1258670765625,conditional arithmetic; not guaranteed bound
104.775,60,0.02,2,1.0,0.6666666666666666,0.027129107500000003,0.05594092291666667,111.88184583333334,0.22376369166666668,conditional arithmetic; not guaranteed bound
104.775,85,0,0.5,0.25,0.16666666666666666,0.0294324559375,0.024527046614583332,12.263523307291667,0.006131761653645833,conditional arithmetic; not guaranteed bound
104.775,85,0,1,0.5,0.3333333333333333,0.0294324559375,0.024527046614583332,24.527046614583334,0.024527046614583332,conditional arithmetic; not guaranteed bound
104.775,85,0,1.5,0.75,0.5,0.0294324559375,0.024527046614583332,36.790569921875,0.055185854882812496,conditional arithmetic; not guaranteed bound
104.775,85,0,2,1.0,0.6666666666666666,0.0294324559375,0.024527046614583332,49.05409322916667,0.09810818645833333,conditional arithmetic; not guaranteed bound
104.775,85,0.02,0.5,0.25,0.16666666666666666,0.0294324559375,0.05786037994791666,28.930189973958328,0.014465094986979165,conditional arithmetic; not guaranteed bound
104.775,85,0.02,1,0.5,0.3333333333333333,0.0294324559375,0.05786037994791666,57.860379947916655,0.05786037994791666,conditional arithmetic; not guaranteed bound
104.775,85,0.02,1.5,0.75,0.5,0.0294324559375,0.05786037994791666,86.79056992187499,0.13018585488281248,conditional arithmetic; not guaranteed bound
104.775,85,0.02,2,1.0,0.6666666666666666,0.0294324559375,0.05786037994791666,115.72075989583331,0.23144151979166663,conditional arithmetic; not guaranteed bound
