reference,side,MPN,DNP,PCB_x_mm,PCB_y_mm,rotation_deg,x_min_mm,y_min_mm,x_max_mm,y_max_mm,max_body_height_mm,assembly_allowance_mm,clearance_height_above_FCu_mm,Fusion_z_bottom_mm,Fusion_z_top_mm,Fusion_x_min_mm,Fusion_x_max_mm,Fusion_y_min_mm,Fusion_y_max_mm,basis,XY_basis,source,model_status
C204,F.Cu,C3225X7R1C226M250AC,False,8.15,62.1,180.0,6.35,60.65,9.950000000000001,63.55,2.8,0.15,2.9499999999999997,22.1,25.05,56.75,60.35,56.45,59.35,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3225X7R1C226M250AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C205,F.Cu,C3225X7R1C226M250AC,False,8.15,65.5,180.0,6.35,64.05,9.950000000000001,66.95,2.8,0.15,2.9499999999999997,22.1,25.05,56.75,60.35,53.05,55.95,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3225X7R1C226M250AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C206,F.Cu,C3225X7R1C226M250AC,False,8.15,68.9,180.0,6.35,67.44999999999999,9.950000000000001,70.35000000000001,2.8,0.15,2.9499999999999997,22.1,25.05,56.75,60.35,49.64999999999999,52.55000000000001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3225X7R1C226M250AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C301,F.Cu,C0805C104K5RACTU,False,18.0,67.0,0.0,16.8,66.175,19.2,67.825,0.88,0.15,1.03,22.1,23.13,67.2,69.6,52.175,53.825,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C302,F.Cu,C1608X5R1C475K080AC,False,11.5,48.1,0.0,10.5,47.5,12.5,48.699999999999996,0.9,0.15,1.05,22.1,23.15,60.9,62.9,71.30000000000001,72.5,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X5R1C475K080AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C303,F.Cu,C1608X5R1C475K080AC,False,12.0,49.65,0.0,11.0,49.050000000000004,13.0,50.25,0.9,0.15,1.05,22.1,23.15,61.4,63.4,69.75,70.94999999999999,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X5R1C475K080AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C401,F.Cu,C0603C105K4RACTU,False,1.299999,23.3,90.0,0.6999989999999999,22.3,1.899999,24.299999999999997,0.9,0.15,1.05,22.1,23.15,51.099999,52.299999,95.7,97.7,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C402,F.Cu,C1608X7R1H103K080AA,False,1.299999,26.51,90.0,0.6999989999999999,25.51,1.899999,27.509999999999998,0.9,0.15,1.05,22.1,23.15,51.099999,52.299999,92.49000000000001,94.49,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C403,F.Cu,C1608X7R1H103K080AA,False,6.9,32.299999,0.0,5.8999999999999995,31.699999000000002,7.9,32.899999,0.9,0.15,1.05,22.1,23.15,56.3,58.3,87.10000099999999,88.300001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C404,F.Cu,C0603C105K4RACTU,False,12.6,33.0,0.0,11.6,32.4,13.6,33.6,0.9,0.15,1.05,22.1,23.15,62.0,64.0,86.4,87.6,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C405,F.Cu,C1608X7R1H103K080AA,False,12.6,34.6,0.0,11.6,34.0,13.6,35.199999999999996,0.9,0.15,1.05,22.1,23.15,62.0,64.0,84.80000000000001,86.0,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C406,F.Cu,C1608X7R1H103K080AA,False,10.2,33.0,90.0,9.6,32.0,10.8,34.0,0.9,0.15,1.05,22.1,23.15,60.0,61.2,86.0,88.0,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C407,F.Cu,C1608X7R1H104K080AA,False,10.95,28.5,0.0,9.95,27.900000000000002,11.950000000000001,29.099999999999998,0.9,0.15,1.05,22.1,23.15,60.349999999999994,62.35,90.9,92.1,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C408,F.Cu,C0603C105K4RACTU,False,14.15,28.5,0.0,13.15,27.900000000000002,15.15,29.099999999999998,0.9,0.15,1.05,22.1,23.15,63.55,65.55,90.9,92.1,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C409,F.Cu,C0603C105K4RACTU,False,9.1,36.3,0.0,8.1,35.7,10.1,36.9,0.9,0.15,1.05,22.1,23.15,58.5,60.5,83.1,84.3,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C501,F.Cu,C1608X5R1C475K080AC,False,4.0,42.7,0.0,3.0,42.1,5.0,43.3,0.9,0.15,1.05,22.1,23.15,53.4,55.4,76.7,77.9,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X5R1C475K080AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C502,F.Cu,C1608X5R1C475K080AC,False,4.0,48.7,0.0,3.0,48.1,5.0,49.3,0.9,0.15,1.05,22.1,23.15,53.4,55.4,70.7,71.9,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X5R1C475K080AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C503,F.Cu,C1608X7R1H103K080AA,True,8.5,46.3,0.0,7.5,45.7,9.5,46.9,0.9,0.15,1.05,22.1,23.15,57.9,59.9,73.1,74.3,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C504,F.Cu,C1608X7R1H104K080AA,False,8.5,48.1,0.0,7.5,47.5,9.5,48.699999999999996,0.9,0.15,1.05,22.1,23.15,57.9,59.9,71.30000000000001,72.5,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C505,F.Cu,C0603C105K4RACTU,False,9.2,51.5,90.0,8.6,50.5,9.8,52.5,0.9,0.15,1.05,22.1,23.15,59.0,60.2,67.5,69.5,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C506,F.Cu,C1608X7R1H103K080AA,False,16.649999,34.025,90.0,16.049999,33.025,17.249999,35.025,0.9,0.15,1.05,22.1,23.15,66.44999899999999,67.649999,84.975,86.975,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C507,F.Cu,C1608X7R1H103K080AA,False,6.65,38.1,90.0,6.05,37.1,7.25,39.1,0.9,0.15,1.05,22.1,23.15,56.449999999999996,57.65,80.9,82.9,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C508,F.Cu,C1608X7R1H104K080AA,False,15.5,38.4,0.0,14.5,37.800000000000004,16.5,39.0,0.9,0.15,1.05,22.1,23.15,64.9,66.9,81.0,82.19999999999999,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C509,F.Cu,C0603C105K4RACTU,False,12.25,38.4,0.0,11.25,37.800000000000004,13.25,39.0,0.9,0.15,1.05,22.1,23.15,61.65,63.65,81.0,82.19999999999999,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C601,F.Cu,C2012X7R1E105K125AB,False,19.5,42.1,0.0,18.3,41.275,20.7,42.925,1.45,0.15,1.5999999999999999,22.1,23.7,68.7,71.1,77.075,78.725,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,check this envelope independently of generic STEP model; no scaling of purchased CAD
C701,F.Cu,C3216X5R1E226M160AB,False,15.1,50.5,90.0,14.1,48.7,16.099999999999998,52.3,1.8,0.15,1.95,22.1,24.05,64.5,66.5,67.7,71.3,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C3216X5R1E226M160AB,check this envelope independently of generic STEP model; no scaling of purchased CAD
C702,F.Cu,C2012X5R1C226M125AC,False,21.9,55.2,90.0,21.075000000000003,54.0,22.724999999999998,56.4,1.45,0.15,1.5999999999999999,22.1,23.7,71.475,73.125,63.6,66.0,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X5R1C226M125AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C703,F.Cu,C2012X5R1C226M125AC,False,19.25,61.3,90.0,18.425,60.1,20.075,62.5,1.45,0.15,1.5999999999999999,22.1,23.7,68.825,70.475,57.5,59.9,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X5R1C226M125AC,check this envelope independently of generic STEP model; no scaling of purchased CAD
C704,F.Cu,C2012X7R1E105K125AB,False,2.25,57.0,90.0,1.425,55.800000000000004,3.0749999999999997,58.199999999999996,1.45,0.15,1.5999999999999999,22.1,23.7,51.824999999999996,53.475,61.800000000000004,64.19999999999999,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,check this envelope independently of generic STEP model; no scaling of purchased CAD
C705,F.Cu,C2012X7R1E105K125AB,False,4.0,60.5,0.0,2.8000000000000003,59.675000000000004,5.2,61.324999999999996,1.45,0.15,1.5999999999999999,22.1,23.7,53.199999999999996,55.6,58.675000000000004,60.324999999999996,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,check this envelope independently of generic STEP model; no scaling of purchased CAD
C706,F.Cu,C0805C103K5RACTU,True,4.0,62.75,0.0,2.8000000000000003,61.925000000000004,5.2,63.574999999999996,0.88,0.15,1.03,22.1,23.13,53.199999999999996,55.6,56.425000000000004,58.074999999999996,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0805C103K5RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C707,F.Cu,C0805C104K5RACTU,False,21.7,68.925,90.0,20.875,67.725,22.525,70.125,0.88,0.15,1.03,22.1,23.13,71.275,72.925,49.875,52.275000000000006,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C708,F.Cu,C0805C104K5RACTU,False,4.0,65.0,0.0,2.8000000000000003,64.175,5.2,65.825,0.88,0.15,1.03,22.1,23.13,53.199999999999996,55.6,54.175,55.825,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C801,F.Cu,C1608X7R1H104K080AA,False,5.75,58.0,0.0,4.75,57.4,6.75,58.6,0.9,0.15,1.05,22.1,23.15,55.15,57.15,61.4,62.6,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C802,F.Cu,C1608X7R1H104K080AA,False,14.8,57.5,0.0,13.799999999999999,56.9,15.8,58.1,0.9,0.15,1.05,22.1,23.15,64.2,66.2,61.9,63.1,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,check this envelope independently of generic STEP model; no scaling of purchased CAD
C803,F.Cu,C0805C333K5RACTU,False,12.25,69.35,0.0,11.049999999999999,68.52499999999999,13.450000000000001,70.17500000000001,0.88,0.15,1.03,22.1,23.13,61.449999999999996,63.85,49.82499999999999,51.47500000000001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0805C333K5RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
C804,F.Cu,C0603C105K4RACTU,False,17.0,65.0,0.0,15.999999999999998,64.39999999999999,18.0,65.60000000000001,0.9,0.15,1.05,22.1,23.15,66.39999999999999,68.4,54.39999999999999,55.60000000000001,manufacturer package/part dimension; conservative package maxima where listed; extra0.15mm per-side XY allowance around F.Fab,manufacturer max where explicitly listed; otherwise current F.Fab bounding envelope,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,check this envelope independently of generic STEP model; no scaling of purchased CAD
