Ref,Val,Package,PosX,PosY,Rot,Side
"C204","22u / 16V X7R / 20%","C_1210_3225Metric",8.150000,-62.100000,180.000000,top
"C205","22u / 16V X7R / 20%","C_1210_3225Metric",8.150000,-65.500000,180.000000,top
"C206","22u / 16V X7R / 20%","C_1210_3225Metric",8.150000,-68.900000,180.000000,top
"C301","100n / 50V X7R / 10%","C_0805_2012Metric",18.000000,-67.000000,0.000000,top
"C302","4.7u / 16V X5R / 10%","C_0603_1608Metric",11.500000,-48.100000,0.000000,top
"C303","4.7u / 16V X5R / 10%","C_0603_1608Metric",12.000000,-49.650000,0.000000,top
"C401","1u / 16V X7R / 10%","C_0603_1608Metric",1.299999,-23.300000,90.000000,top
"C402","10n / 50V X7R / 10%","C_0603_1608Metric",1.299999,-26.510000,90.000000,top
"C403","10n / 50V X7R / 10%","C_0603_1608Metric",6.900000,-32.299999,0.000000,top
"C404","1u / 16V X7R / 10%","C_0603_1608Metric",12.600000,-33.000000,0.000000,top
"C405","10n / 50V X7R / 10%","C_0603_1608Metric",12.600000,-34.600000,0.000000,top
"C406","10n / 50V X7R / 10%","C_0603_1608Metric",10.200000,-33.000000,90.000000,top
"C407","100n / 50V X7R / 10%","C_0603_1608Metric",10.950000,-28.500000,0.000000,top
"C408","1u / 16V X7R / 10%","C_0603_1608Metric",14.150000,-28.500000,0.000000,top
"C409","1u / 16V X7R / 10%","C_0603_1608Metric",9.100000,-36.300000,0.000000,top
"C501","4.7u / 16V X5R / 10%","C_0603_1608Metric",4.000000,-42.700000,0.000000,top
"C502","4.7u / 16V X5R / 10%","C_0603_1608Metric",4.000000,-48.700000,0.000000,top
"C503","10n / 50V X7R / 10% / DNP","C_0603_1608Metric",8.500000,-46.300000,0.000000,top
"C504","100n / 50V X7R / 10%","C_0603_1608Metric",8.500000,-48.100000,0.000000,top
"C505","1u / 16V X7R / 10%","C_0603_1608Metric",9.200000,-51.500000,90.000000,top
"C506","10n / 50V X7R / 10%","C_0603_1608Metric",16.649999,-34.025000,90.000000,top
"C507","10n / 50V X7R / 10%","C_0603_1608Metric",6.650000,-38.100000,90.000000,top
"C508","100n / 50V X7R / 10%","C_0603_1608Metric",15.500000,-38.400000,0.000000,top
"C509","1u / 16V X7R / 10%","C_0603_1608Metric",12.250000,-38.400000,0.000000,top
"C601","1u / 25V X7R / 10%","C_0805_2012Metric",19.500000,-42.100000,0.000000,top
"C701","22u / 25V X5R / 20%","C_1206_3216Metric",15.100000,-50.500000,90.000000,top
"C702","22u / 16V X5R / 20%","C_0805_2012Metric",21.900000,-55.200000,90.000000,top
"C703","22u / 16V X5R / 20%","C_0805_2012Metric",19.250000,-61.300000,90.000000,top
"C704","1u / 25V X7R / 10%","C_0805_2012Metric",2.250000,-57.000000,90.000000,top
"C705","1u / 25V X7R / 10%","C_0805_2012Metric",4.000000,-60.500000,0.000000,top
"C706","10n / 50V X7R / 10% / DNP","C_0805_2012Metric",4.000000,-62.750000,0.000000,top
"C707","100n / 50V X7R / 10%","C_0805_2012Metric",21.700000,-68.925000,90.000000,top
"C708","100n / 50V X7R / 10%","C_0805_2012Metric",4.000000,-65.000000,0.000000,top
"C801","100n / 50V X7R / 10%","C_0603_1608Metric",5.750000,-58.000000,0.000000,top
"C802","100n / 50V X7R / 10%","C_0603_1608Metric",14.800000,-57.500000,0.000000,top
"C803","33n / 50V X7R / 10%","C_0805_2012Metric",12.250000,-69.350000,0.000000,top
"C804","1u / 16V X7R / 10%","C_0603_1608Metric",17.000000,-65.000000,0.000000,top
"J101","USB HARNESS: 5V/GND/CC1/CC2/D+/D-","USB_Harness_6P_P1.8mm",14.750000,-97.000000,0.000000,top
"J103","PACK NTC: 103AT-2","PinHeader_1x02_P2.54mm_Vertical",4.000000,-77.725000,0.000000,top
"J104","ARM: OPEN","PinHeader_1x02_P2.54mm_Vertical",4.000000,-69.725000,0.000000,top
"J301","GUITION JP1 / 2x13","Samtec_HTSW-113-07-L-D-007_P2.54mm_Key7",27.265000,-69.245000,180.000000,top
"J401","AO2 / 3-pin cable","PinHeader_1x03_P2.54mm_Vertical",4.900000,-24.460000,0.000000,top
"J402","SMB male-centre / Amphenol142138","SMB_Amphenol_142138",4.450000,-16.600000,0.000000,top
"J501","MD62 cable / <=30 cm","PinHeader_1x03_P2.54mm_Vertical",4.000000,-34.960000,0.000000,top
"J601","BME280 harness","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",26.450000,-21.525000,180.000000,top
"J701","ZE07-CO harness","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",26.450000,-29.525000,180.000000,top
"J801","POWER BUTTON / 1NO","PinHeader_1x02_P2.54mm_Vertical",3.724999,-51.500000,90.000000,top
"J802","BUTTON LED +/-","PinHeader_1x02_P2.54mm_Vertical",5.725000,-55.300000,90.000000,top
"L101","1u / 74437349010","L_Wurth_74437349010_7050",13.500000,-76.500000,90.000000,top
"L201","1.5u / XGL4030-152MEC","L_Coilcraft_XGL4030",13.000000,-66.000000,180.000000,top
"L701","1u / XGL4020-102MEC","L_Coilcraft_XGL4020",19.500000,-51.200000,-90.000000,top
"Q101","2N7002","SOT-23",20.000000,-78.750000,0.000000,top
"Q110","DMN2056U-7","DMN2056U_SOT23_Diodes_Recommended",18.000000,-89.500000,180.000000,top
"Q111","DMN2056U-7","SOT-23",20.000000,-86.000000,0.000000,top
"Q112","DMN2056U-7","SOT-23",24.750000,-96.750000,0.000000,top
"Q601","BSS138","SOT-23",19.500000,-35.000000,0.000000,top
"Q602","BSS138","SOT-23",20.500000,-39.200000,0.000000,top
"R101","5.23k 1%","R_0402_1005Metric",14.850000,-88.950000,0.000000,top
"R102","30.1k 1%","R_0603_1608Metric",10.900000,-88.250000,90.000000,top
"R103","300R / 1% / supported ILIM range","R_0603_1608Metric",14.500000,-87.550000,0.000000,top
"R104","100k","R_0603_1608Metric",5.000000,-93.000000,180.000000,top
"R105","100k","R_0603_1608Metric",5.750000,-84.250000,90.000000,top
"R107","10k","R_0603_1608Metric",23.500000,-75.000000,180.000000,top
"R110","887k / 1%","R_0603_1608Metric",23.500000,-73.500000,180.000000,top
"R111","33k / 1%","R_0603_1608Metric",27.500000,-77.550000,-90.000000,top
"R112","10k / 1%","R_0603_1608Metric",29.000000,-76.750000,90.000000,top
"R113","97.6k / 0.1%","R_0603_1608Metric",26.000000,-83.250000,0.000000,top
"R114","10k / 0.1%","R_0603_1608Metric",21.750000,-92.750000,90.000000,top
"R115","10k / 0.1%","R_0402_1005Metric",21.400000,-83.300000,-90.000000,top
"R116","1k / 0.1%","R_0603_1608Metric",7.750000,-94.750000,0.000000,top
"R117","100k / 1%","R_0603_1608Metric",28.200000,-97.000000,90.000000,top
"R118","100k / 0.1%","R_0402_1005Metric",10.750000,-91.950000,180.000000,top
"R120","10k / 1%","R_0603_1608Metric",1.925000,-92.750000,0.000000,top
"R201","1.62M 1%","R_0603_1608Metric",8.800000,-59.750000,0.000000,top
"R202","180k 1%","R_0603_1608Metric",8.800000,-58.050000,0.000000,top
"R203","100k","R_0603_1608Metric",4.250000,-67.000000,0.000000,top
"R301","10k","R_0603_1608Metric",11.950000,-71.150000,0.000000,top
"R302","4.7k / FIT","R_0603_1608Metric",3.400000,-83.500000,0.000000,top
"R303","4.7k / FIT","R_0603_1608Metric",19.500000,-64.500000,90.000000,top
"R401","100R / 0.1%","R_0603_1608Metric",8.250000,-25.500000,90.000000,top
"R402","100R / 0.1%","R_0603_1608Metric",12.500000,-18.500000,0.000000,top
"R403","1M / 1%","R_0603_1608Metric",1.300000,-29.759999,90.000000,top
"R404","1M / 1%","R_0603_1608Metric",1.300000,-33.000000,90.000000,top
"R405","100R / 0.1%","R_0603_1608Metric",15.000000,-33.000000,90.000000,top
"R406","100R / 0.1%","R_0603_1608Metric",1.300000,-36.300000,90.000000,top
"R407","1M / 1%","R_0603_1608Metric",10.950000,-30.250000,0.000000,top
"R408","1M / 1%","R_0603_1608Metric",14.150000,-30.250000,0.000000,top
"R409","10k / 0.1%","R_0603_1608Metric",12.250000,-36.300000,0.000000,top
"R410","10k / 0.1%","R_0603_1608Metric",15.500000,-36.400000,0.000000,top
"R501","100k","R_0603_1608Metric",2.200000,-54.200000,0.000000,top
"R504","10k / 0.1%","R_0603_1608Metric",18.250000,-48.000000,0.000000,top
"R505","10k / 0.1%","R_0603_1608Metric",22.000000,-44.750000,90.000000,top
"R506","680R / 0.1%","R_0603_1608Metric",9.000000,-38.400000,0.000000,top
"R507","680R / 0.1%","R_0603_1608Metric",3.750000,-32.250000,0.000000,top
"R601","0R / fit: 3.3 V","R_0603_1608Metric",1.250000,-60.500000,90.000000,top
"R602","0R / DNP: 5 V option","R_0603_1608Metric",1.250000,-63.750000,90.000000,top
"R603","4.7k / DNP","R_0603_1608Metric",1.250000,-67.000000,90.000000,top
"R604","4.7k / DNP","R_0603_1608Metric",1.250000,-70.250000,90.000000,top
"R701","787k / 0.1%","R_0603_1608Metric",17.050000,-56.200000,90.000000,top
"R702","100k / 0.1%","R_0603_1608Metric",18.500000,-58.650000,0.000000,top
"R703","100k","R_0603_1608Metric",21.000000,-63.250000,90.000000,top
"R704","100R","R_0603_1608Metric",24.750000,-33.400000,0.000000,top
"R705","100R","R_0603_1608Metric",28.000000,-33.400000,0.000000,top
"R801","5.1k","R_0603_1608Metric",4.750000,-75.000000,0.000000,top
"R802","10k","R_0603_1608Metric",1.250000,-73.500000,90.000000,top
"R803","100k","R_0603_1608Metric",1.250000,-81.250000,90.000000,top
"R804","1k / DNP","R_0603_1608Metric",1.250000,-76.750000,90.000000,top
"RN501","2x2k / 1:1 matched","Vishay_ACAS0606_AT_IEC",7.200000,-40.900000,0.000000,top
"U101","BQ25895RTWR","TI_RTW24_4x4_ThermalVias_ServicePad",13.000000,-84.000000,0.000000,top
"U110","TUSB320LAIRWBR","Texas_X2QFN-12_1.6x1.6mm_P0.4mm",25.200000,-77.400000,0.000000,top
"U111","PI3USB9201ZTAEX","PI3USB9201_UQFN2020_12_TypeC",26.450000,-74.050000,0.000000,top
"U112","SN74AUP1G74DCUR","VSSOP-8_2.3x2mm_P0.5mm",25.200000,-80.500000,0.000000,top
"U113","TPS3808G01DBVR","SOT-23-6",25.000000,-85.800000,0.000000,top
"U114","TPS22950CQDDCRQ1","TI_DDC0006A",7.500000,-90.500000,180.000000,top
"U201","TPS63020DSJR","TI_DSJ_14",13.000000,-61.000000,0.000000,top
"U301","MAX17048G+","TDFN-8-1EP_2x2mm_P0.5mm_EP0.8x1.2mm",18.000000,-69.800000,0.000000,top
"U302","LM66100DCKR","SOT-363_SC-70-6",12.000000,-51.500000,0.000000,top
"U401","ADS122C04IPWR","TSSOP-16_4.4x5mm_P0.65mm",12.600000,-23.200000,-90.000000,top
"U501","TPS7A2030PDBVR","SOT-23-5",4.000000,-45.700000,90.000000,top
"U502","ADS122C04IPWR","TSSOP-16_4.4x5mm_P0.65mm",12.600000,-42.000000,0.000000,top
"U701","TPS61023DRLR","SOT-563",19.500000,-56.300000,0.000000,top
"U702","TPS7A2030PDBVR","SOT-23-5",19.000000,-45.400000,0.000000,top
"U703","TXU0202DCUR","TI_DCU8_CompactSilk",13.000000,-46.100000,0.000000,top
"U801","LTC2954CTS8-1","TSOT-23-8",13.600000,-55.000000,0.000000,top
