board,reference,source_value,source_footprint,manufacturer,proposed_mpn,capacitance_uF,rated_voltage_V,tolerance_percent,dielectric,temperature_range_C,max_body_height_mm,primary_source,local_source,bias_evidence,status,purchasing_status
Main,C409,1u / X7R,Capacitor_SMD:C_0603_1608Metric,KEMET / YAGEO,C0603C105K4RACTU,1,16,10,X7R,-55 to 125,0.9,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,C0603C105K4RACTU.pdf,Manufacturer typical simulation; about3-4% loss at3.3V and8-10% at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate; do not assume1uF guaranteed effective after all corners,not purchased; authorized distributor quote pending
Main,C503,10n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H103K080AA,0.01,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,../sources/c1608x7r1h103k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C504,100n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H104K080AA,0.1,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,../sources/c1608x7r1h104k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C505,1u / X7R,Capacitor_SMD:C_0603_1608Metric,KEMET / YAGEO,C0603C105K4RACTU,1,16,10,X7R,-55 to 125,0.9,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,C0603C105K4RACTU.pdf,Manufacturer typical simulation; about3-4% loss at3.3V and8-10% at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate; do not assume1uF guaranteed effective after all corners,not purchased; authorized distributor quote pending
Main,C506,10n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H103K080AA,0.01,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,../sources/c1608x7r1h103k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C507,10n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H103K080AA,0.01,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H103K080AA,../sources/c1608x7r1h103k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C508,100n,Capacitor_SMD:C_0603_1608Metric,TDK,C1608X7R1H104K080AA,0.1,50,10,X7R,-55 to 125,0.9,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA,../sources/c1608x7r1h104k080aa.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C509,1u / X7R,Capacitor_SMD:C_0603_1608Metric,KEMET / YAGEO,C0603C105K4RACTU,1,16,10,X7R,-55 to 125,0.9,https://search.kemet.com/component-documentation/download/specsheet/C0603C105K4RACTU,C0603C105K4RACTU.pdf,Manufacturer typical simulation; about3-4% loss at3.3V and8-10% at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate; do not assume1uF guaranteed effective after all corners,not purchased; authorized distributor quote pending
Main,C601,1u / 10V,Capacitor_SMD:C_0805_2012Metric,TDK,C2012X7R1E105K125AB,1,25,10,X7R,-55 to 125,1.45,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,../sources/c2012x7r1e105k125ab.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
Main,C706,10n,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C103K5RACTU,0.01,50,10,X7R,-55 to 125,0.88,https://search.kemet.com/component-documentation/download/specsheet/C0805C103K5RACTU,C0805C103K5RACTU.pdf,Manufacturer typical simulation; under0.2% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate,not purchased; authorized distributor quote pending
Main,C707,100n,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C104K5RACTU,0.1,50,10,X7R,-55 to 125,0.88,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,C0805C104K5RACTU.pdf,Manufacturer typical simulation; about1-2% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate,not purchased; authorized distributor quote pending
Main,C708,100n,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C104K5RACTU,0.1,50,10,X7R,-55 to 125,0.88,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,C0805C104K5RACTU.pdf,Manufacturer typical simulation; about1-2% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate,not purchased; authorized distributor quote pending
Main,C801,100n / 10V,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C104K5RACTU,0.1,50,10,X7R,-55 to 125,0.88,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,C0805C104K5RACTU.pdf,Manufacturer typical simulation; about1-2% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate,not purchased; authorized distributor quote pending
Main,C802,100n / 10V,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C104K5RACTU,0.1,50,10,X7R,-55 to 125,0.88,https://search.kemet.com/component-documentation/download/specsheet/C0805C104K5RACTU,C0805C104K5RACTU.pdf,Manufacturer typical simulation; about1-2% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate,not purchased; authorized distributor quote pending
Main,C803,33n / 10V,Capacitor_SMD:C_0805_2012Metric,KEMET / YAGEO,C0805C333K5RACTU,0.033,50,10,X7R,-55 to 125,0.88,https://search.kemet.com/component-documentation/download/specsheet/C0805C333K5RACTU,kemet-33n-0805.pdf,Manufacturer typical simulation; under1% loss at5.5V; ESR/frequency plot retained,Exact ordinary nominal/footprint candidate; verify timer tolerance at temperature/aging,not purchased; authorized distributor quote pending
Main,C804,1u / 10V,Capacitor_SMD:C_0805_2012Metric,TDK,C2012X7R1E105K125AB,1,25,10,X7R,-55 to 125,1.45,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB,../sources/c2012x7r1e105k125ab.pdf,Exact TDK characterization already retained by PCB owner,Retain PCB owner candidate; not a competing choice,not purchased; authorized distributor quote pending
