event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
195,25.6,25.5,2032,0,0.0,
196,25.8,25.7,2038,0,0.0,
197,26.0,25.9,2042,0,0.0,
198,26.2,26.1,2050,0,0.0,
199,26.4,26.3,2058,0,0.0,
200,26.6,26.5,2064,0,0.0,
201,26.8,26.7,2070,0,0.0,
202,27.0,26.9,2080,0,0.0,
203,27.2,27.1,2134,0,0.0,
204,27.4,27.3,2130,0,0.0,
206,27.6,27.5,2128,0,0.0,
208,27.8,27.7,2126,0,0.0,
209,28.0,27.9,2126,0,0.0,
211,28.2,28.1,2200,0,0.0,
213,28.4,28.3,2192,0,0.0,
215,28.6,28.5,2186,0,0.0,
216,28.8,28.7,2182,0,0.0,
218,29.0,28.9,2180,0,0.0,
220,29.2,29.1,2400,0,0.0,
222,29.4,29.3,2400,0,0.0,
223,29.6,29.5,2400,0,0.0,
225,29.8,29.7,2400,0,0.0,
227,30.0,29.9,2404,0,0.0,
228,30.2,30.1,2404,0,0.0,
229,30.4,30.3,2408,0,0.0,
230,30.6,30.5,2414,0,0.0,
231,30.8,30.7,2416,0,0.0,
232,31.0,30.9,2416,0,0.0,
233,31.2,31.1,2416,0,0.0,
234,31.4,31.3,2416,0,0.0,
235,31.6,31.5,2414,0,0.0,
236,31.8,31.7,2414,0,0.0,
237,32.0,31.9,2414,0,0.0,
238,32.2,32.1,2412,0,0.0,
239,32.4,32.3,2410,0,0.0,
240,32.6,32.5,2408,0,0.0,
241,32.8,32.7,2406,0,0.0,
242,33.0,32.9,2402,0,0.0,
