part_number,component,quantity,basis,source
GEN-M2-SHCS-L7-AF1.5,M2 x 7 socket_cap screw — GEN-M2-SHCS-L7-AF1.5,2,nominal generic hardware; not supplier-authenticated CAD,
Sensor / GYBMEP humidity breakout reference,Sensor / GYBMEP humidity breakout reference,1,Provisional GYBMEP 17x12x5 envelope; board outline and hardware unmeasured. Illustrative PCB/cap/IC detail does not establish purchased BME280 identity.,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf
03 Guition factory casing — measured envelope,03 Guition factory casing — measured envelope,1,Owner measured retained116.8x69.3x13.7mm casing; local details drawing references,
USB A3 — tongue and rear insulator reference,USB A3 — tongue and rear insulator reference,1,"GCT USB4720 Rev B drawing-derived reconstruction, not supplier CAD. Purchased geometry and physical seal/load qualification pending. Insulating tongue geometry simplified.",https://gct.co/files/drawings/usb4720.pdf
USB4720-03-A-DRAWING-REFERENCE,USB A3 — GCT USB4720 shell drawing reconstruction,1,"GCT USB4720 Rev B drawing-derived reconstruction, not supplier CAD. Purchased geometry and physical seal/load qualification pending.",https://gct.co/files/drawings/usb4720.pdf
Sensor / ZE07-CO drawing-derived assembly,Sensor / ZE07-CO drawing-derived assembly,1,"Winsen drawing reconstruction: 25.4x22.4x1.6 PCB, Ø20x16.7 can, 3.45 opposite pins; total21.75 alongX. PCB plane rotated to Y25.4/Z22.4. Pin placement and body finishes illustrative.",https://www.winsen-sensor.com/d/files/manual/ze07-co.pdf
Sensor / AO2 cable connector allowance,Sensor / AO2 cable connector allowance,1,Unmeasured 6.5x10x10 mated connector allowance; not supplier-authenticated geometry.,
Sensor / MD62 body and full-length lead references,Sensor / MD62 body and full-length lead references,1,"Winsen MD62 nominal 19x9.5x14 body rotated X14,Y9.5,Z19. Full 27 mm lead length retained; lead diameters/positions illustrative within the reserved envelope.",https://www.winsen-sensor.com/d/files/PDF/Thermal%20Conductor%20Gas%20Sensor/MD62%20Manual%20V1.3.pdf
USB A3 — GCT LIM gasket nominal reference,USB A3 — GCT LIM gasket nominal reference,1,"GCT USB4720 Rev B drawing-derived reconstruction, not supplier CAD. Purchased geometry and physical seal/load qualification pending. Uncompressed silicone reference; no seal simulation.",https://gct.co/files/drawings/usb4720.pdf
Chamber / AO2 hand-tight adapter reference,Chamber / AO2 hand-tight adapter reference,1,"Nominal M16x1 hand-tight adapter with simplified Ø16.2 bore. Exact nose engagement, stop and compatible face seal require the purchased AO2.",
Chamber / A3 top manifold with serial return,Chamber / A3 top manifold with serial return,1,"Designed removable manifold. Nominal 2 mm walls and flat seal lands; gasket stock, compression, fastening preload and gas response unqualified.",
Sensor / AO2 dry body with wetted threaded nose,Sensor / AO2 dry body with wetted threaded nose,1,"Honeywell AA428-210 drawing: Ø29.3 x31.75 body and M16x1 x6.5 nose. Body stays dry; manufacturer drawing-derived, not exact supplier CAD.",https://prod-edam.honeywell.com/content/dam/honeywell-edam/sps/siot/en-us/products/sensors/gas-sensors/automotive-and-emissions/documents/hon-ia-hss-automotive-ao2-o2-gas-sensor-dts-en.pdf
Gas / Viewer-left inlet fitting reference,Gas / Viewer-left inlet fitting reference,1,"Nominal purchased fitting/tube reference Ø8 OD, Ø5 ID; actual flange, seal, retention and insertion depth unmeasured.",
Gas / Viewer-right exhaust fitting reference,Gas / Viewer-right exhaust fitting reference,1,"Nominal purchased fitting/tube reference Ø8 OD, Ø5 ID; actual flange, seal, retention and insertion depth unmeasured.",
Chamber / AO2 face-seal allowance,Chamber / AO2 face-seal allowance,1,"Provisional 0.2 mm annular face-seal allowance only. Compatible material, section, compression and the purchased AO2 sealing datum must be established.",
