part_number,component,quantity,basis,source
Carrier / removable electronics plate,Carrier / removable electronics plate,1,"2 mm printed carrier; future PCB and disconnect notches, procurement pending",
Controls / right 1NO power button body,Controls / right 1NO power button body,1,"12 mm purchased button; barrel, nut and terminals are conservative unmeasured references",
Sensor / AO2 sideways body and neck,Sensor / AO2 sideways body and neck,1,"Datasheet dimensional envelope: body Ø29.3x31.75, neck Ø16x6.5; no exact threads or supplier CAD",
Controls / green momentary power cap,Controls / green momentary power cap,1,designed concept,
USB — removable panel insert and board supports,USB — removable panel insert and board supports,1,Designed removable printed support with >=2 mm nominal flange and boss walls; housing retention and physical fit unqualified,https://gct.co/files/drawings/usb4720.pdf
USB — 0.60 mm daughterboard — layout provisional,USB — 0.60 mm daughterboard — layout provisional,1,Provisional 13.6 x 16 x 0.60 mm board; connector straddle relief and mounting references only; no final circuit layout,https://gct.co/files/drawings/usb4720.pdf
USB4720-03-A-DRAWING-REFERENCE,USB — GCT USB4720 metal shell — drawing reconstruction,1,"GCT USB4720 Rev B drawing-derived reconstruction; manufacturer STEP download blocked. Simplified shell, tongue and gasket; not exact supplier CAD.",https://gct.co/files/drawings/usb4720.pdf
USB — GCT tongue and rear insulator — illustrative,USB — GCT tongue and rear insulator — illustrative,1,"GCT USB4720 Rev B drawing-derived reconstruction; manufacturer STEP download blocked. Simplified shell, tongue and gasket; not exact supplier CAD.",https://gct.co/files/drawings/usb4720.pdf
USB — GCT LIM gasket — drawing reference,USB — GCT LIM gasket — drawing reference,1,"GCT USB4720 Rev B drawing-derived reconstruction; manufacturer STEP download blocked. Simplified shell, tongue and gasket; not exact supplier CAD. Gasket is an uncompressed visual clearance reference, not seal simulation.",https://gct.co/files/drawings/usb4720.pdf
USB — contact detail — illustrative only,USB — contact detail — illustrative only,1,Illustrative contact stripes; not electrical pin geometry or PCB footprint,https://gct.co/files/drawings/usb4720.pdf
GEN-M2-SHCS-L4-AF1.5,M2 x 4 socket_cap screw — GEN-M2-SHCS-L4-AF1.5,2,nominal generic hardware; not supplier-authenticated CAD,
GEN-M2-SHCS-L6-AF1.5,M2 x 6 socket_cap screw — GEN-M2-SHCS-L6-AF1.5,2,nominal generic hardware; not supplier-authenticated CAD,
Chamber / removable internal lid,Chamber / removable internal lid,1,Separate 2 mm internal lid; gasket and seal groove deferred,
USB — removable rear housing clamp,USB — removable rear housing clamp,1,"Designed printed L-clamp; 2 mm strap/stalk, 0.2 mm lateral stop clearance; physical fit and hand access pending",
Sensor / AO2 connector allowance,Sensor / AO2 connector allowance,1,Unmeasured 6.5x10x10 connector and wire clearance,
Sensor / ZE07-CO rotated total envelope,Sensor / ZE07-CO rotated total envelope,1,"Drawing-derived PCB thickness1.6, can Ø20x16.7, opposite3.45 mm header allowance. Header profile and finishes illustrative; original total envelope remains reserved.",
Sensor / MD62 rotated body envelope,Sensor / MD62 rotated body envelope,1,"Full19x9.5x14 body rotated to X9.5,Y14,Z19; no manufacturer CAD available",
Sensor / MD62 27 mm lead allowance,Sensor / MD62 27 mm lead allowance,1,"Conservative clearance block for full26±1 mm leads, +Y orientation; not a physical solid lead bundle",
Sensor / GYBMEP wired module envelope,Sensor / GYBMEP wired module envelope,1,"Provisional12x17x5 GYBMEP envelope retained. Board thickness, pad holes, cap, IC placement and finishes are illustrative; module identity and all mounting dimensions remain unverified.",
Gas / left inlet fitting reference,Gas / left inlet fitting reference,1,"Nominal8 mm OD/5 mm ID straight fitting reference; actual part, flange, seal and hose bend unmeasured",
Gas / right exhaust fitting reference,Gas / right exhaust fitting reference,1,"Nominal8 mm OD/5 mm ID straight fitting reference; actual part, flange, seal and hose bend unmeasured",
Chamber / sealed wire feedthrough concept,Chamber / sealed wire feedthrough concept,1,"Nominal4.4 mm OD feedthrough reference; wire potting, actual gland, cable diameter and bends unverified",
