part_id,item,quantity,unit,category,specification,status,included_parts,source,procurement_scope
TMX-A3-C05,USB-C receptacle,1,piece,purchased,GCT USB4720-03-A,"One connector includes shell, insulators, contacts and nominal LIM seal; verify purchased revision",USB A3 — GCT USB4720 shell drawing reconstruction; USB A3 — tongue and rear insulator reference; USB A3 — illustrative contact stripes; USB A3 — GCT LIM gasket nominal reference,https://gct.co/files/drawings/usb4720.pdf,Enclosure fit prototype
TMX-A3-C06,Oxygen sensor,1,piece,purchased,Honeywell AO2 / AA428-210 drawing reference,"Purchased variant, nose, membrane and seal need confirmation",Sensor / AO2 dry body with wetted threaded nose,https://prod-edam.honeywell.com/content/dam/honeywell-edam/sps/siot/en-us/products/sensors/gas-sensors/automotive-and-emissions/documents/hon-ia-hss-automotive-ao2-o2-gas-sensor-dts-en.pdf,Enclosure fit prototype
TMX-A3-C07,Thermal-conductivity sensor,1,piece,purchased,Winsen MD62,"Check detector marking, full leads and support; helium use requires experimental calibration",Sensor / MD62 body and full-length lead references,https://www.winsen-sensor.com/d/files/PDF/Thermal%20Conductor%20Gas%20Sensor/MD62%20Manual%20V1.3.pdf,Enclosure fit prototype
TMX-A3-C08,Humidity breakout,1,piece,purchased,GYBMEP board with BME280 intended,"Confirm BME280 identity, board dimensions and electrical interface",Sensor / GYBMEP humidity breakout reference,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf,Enclosure fit prototype
TMX-A3-C09,Carbon-monoxide module,1,piece,purchased,Winsen ZE07-CO,Confirm module revision and header; this module measures CO,Sensor / ZE07-CO drawing-derived assembly,https://www.winsen-sensor.com/d/files/manual/ze07-co.pdf,Enclosure fit prototype
TMX-A3-C10,Two-wire battery disconnect pair,1,pair,purchased,RCY/BEC-style; exact connector family pending,Account for any holder-supplied half; select matching crimp/pigtail pair after inspection,Battery / red RCY disconnect body - provisional reference; Battery / red RCY disconnect mate - provisional reference,,Enclosure fit prototype
TMX-A3-C11,Gas fitting,2,piece,purchased,Nominal 8 mm OD / 5 mm ID reference; exact SKU pending,"Select matching fitting, tubing, seals and retention after physical measurement",Gas / Viewer-left inlet fitting reference; Gas / Viewer-right exhaust fitting reference,,Enclosure fit prototype
TMX-A3-C12,AO2 mating cable/connector,1,piece,purchased,Exact mate pending purchased AO2 inspection,May come with sensor; do not order twice,Sensor / AO2 cable connector allowance,,Enclosure fit prototype
TMX-A3-B01,Main electronics PCB,1,piece,pcb_fabrication,"A2.2 circuit, A3 notched outline pending","Mechanical allocation only; layout, connector placement, routing and fabrication release remain open",Carrier / future PCB allocation — layout pending,,Electronics handoff; not fabrication released
TMX-A3-B02,USB daughterboard,1,piece,pcb_fabrication,"GCT straddle mount, 0.60 mm substrate","Requires final routed outline, two 5.1k 1% CC resistors and VBUS/GND loom",USB A3 — supported 0.60 mm daughterboard provisional,https://gct.co/files/drawings/usb4720.pdf,Electronics handoff; not fabrication released
TMX-A3-S01,Chamber harness closure,1,piece,seal_allowance,Potting/gland specification pending,"CAD allowance is not a selected seal, wire arrangement or procurement item",Chamber / sealed harness feedthrough allowance,,Enclosure fit prototype
TMX-A3-S02,AO2 face seal,1,piece,seal_allowance,Material and dimensions pending,Select using the measured AO2 sealing datum and revised adapter,Chamber / AO2 face-seal allowance,,Enclosure fit prototype
TMX-A3-F01,M3 x 8 button-head screw,4,piece,fastener,GEN-M3-BHCS-L8-AF2,Nominal generic reference; exact supplier and revised engagement checks pending. 2 mm hex; verify actual head and shaft dimensions,,Baseline native hardware metadata,Enclosure fit prototype
TMX-A3-F02,M2 x 5 socket-cap screw,8,piece,fastener,GEN-M2-SHCS-L5-AF1.5,"Nominal generic reference; exact supplier and revised engagement checks pending. 1.5 mm hex; display 2, USB 2, chamber lid 4 in baseline",,Baseline native hardware metadata,Enclosure fit prototype
TMX-A3-F03,M2 x 7 socket-cap screw,2,piece,fastener,GEN-M2-SHCS-L7-AF1.5,Nominal generic reference; exact supplier and revised engagement checks pending. 1.5 mm hex; shared PCB/carrier fasteners in baseline,,Baseline native hardware metadata,Enclosure fit prototype
TMX-A3-F04,"M3 heat-set insert, OD4.2 x 5",4,piece,fastener,GEN-M3-HEATSET-OD4.2-L5,Generic insert reference. Exact SKU and coupon retention test required. Current M2 holes around 3.2/3.3 mm and M3 holes around 4.3 mm are clearance references. Revise full-part pilot holes to the qualified result before heat installation.,,Baseline native hardware metadata,Enclosure fit prototype
TMX-A3-F05,"M2 heat-set insert, OD3.2 x 4",10,piece,fastener,GEN-M2-HEATSET-OD3.2-L4,Generic insert reference. Exact SKU and coupon retention test required. Current M2 holes around 3.2/3.3 mm and M3 holes around 4.3 mm are clearance references. Revise full-part pilot holes to the qualified result before heat installation.,,Baseline native hardware metadata,Enclosure fit prototype
