Reference,Printed_reference,Printed_layers,Available_in,Value,MPN
R124,False,,assembly reference map / native Fab view,21.5k / 0.1% / 25ppm,TNPW060321K5BEEA
R125,True,B.SilkS,silkscreen and assembly map,10k / 0.1% / 25ppm,TNPW060310K0BEEA
R126,True,B.SilkS,silkscreen and assembly map,1.65k / 0.1%,TNPW06031K65BEEA
R127,True,B.SilkS,silkscreen and assembly map,10k / 1%,RC0603FR-0710KL
R128,True,B.SilkS,silkscreen and assembly map,100k / 1%,RC0603FR-07100KL
R201,True,B.SilkS,silkscreen and assembly map,1.62M 1%,RC0603FR-071M62L
R202,True,B.SilkS,silkscreen and assembly map,180k 1%,RC0603FR-07180KL
R203,True,B.SilkS,silkscreen and assembly map,100k,RC0603FR-07100KL
R301,False,,assembly reference map / native Fab view,10k,RC0603FR-0710KL
R302,True,B.SilkS,silkscreen and assembly map,4.7k / FIT,RC0603FR-074K7L
R303,True,B.SilkS,silkscreen and assembly map,4.7k / FIT,RC0603FR-074K7L
R401,True,B.SilkS,silkscreen and assembly map,100R / 0.1%,RT0603BRD07100RL
R402,True,B.SilkS,silkscreen and assembly map,100R / 0.1%,RT0603BRD07100RL
R403,True,B.SilkS,silkscreen and assembly map,1M / 1%,RC0603FR-071ML
R404,True,B.SilkS,silkscreen and assembly map,1M / 1%,RC0603FR-071ML
R405,True,B.SilkS,silkscreen and assembly map,100R / 0.1%,RT0603BRD07100RL
R406,True,B.SilkS,silkscreen and assembly map,100R / 0.1%,RT0603BRD07100RL
R407,True,F.SilkS,silkscreen and assembly map,1M / 1%,RC0603FR-071ML
R408,True,B.SilkS,silkscreen and assembly map,1M / 1%,RC0603FR-071ML
R409,True,B.SilkS,silkscreen and assembly map,10k / 0.1%,RT0603BRD0710KL
R410,True,B.SilkS,silkscreen and assembly map,10k / 0.1%,RT0603BRD0710KL
R501,True,B.SilkS,silkscreen and assembly map,100k,RC0603FR-07100KL
R504,True,F.SilkS,silkscreen and assembly map,10k / 0.1%,RT0603BRD0710KL
R505,True,B.SilkS,silkscreen and assembly map,10k / 0.1%,RT0603BRD0710KL
R506,True,B.SilkS,silkscreen and assembly map,680R / 0.1%,RT0603BRD07680RL
R507,True,B.SilkS,silkscreen and assembly map,680R / 0.1%,RT0603BRD07680RL
R601,True,B.SilkS,silkscreen and assembly map,0R / fit: 3.3 V,RC0603JR-070RL
R602,True,B.SilkS,silkscreen and assembly map,0R / DNP: 5 V option,RC0603JR-070RL
R603,True,B.SilkS,silkscreen and assembly map,4.7k / DNP,RC0603FR-074K7L
R604,True,B.SilkS,silkscreen and assembly map,4.7k / DNP,RC0603FR-074K7L
R701,True,B.SilkS,silkscreen and assembly map,787k / 0.1%,RT0603BRD07787KL
R702,False,,assembly reference map / native Fab view,100k / 0.1%,RT0402BRD07100KL
R703,True,B.SilkS,silkscreen and assembly map,100k,RC0603FR-07100KL
R704,True,B.SilkS,silkscreen and assembly map,100R,RC0603FR-07100RL
R705,True,B.SilkS,silkscreen and assembly map,100R,RC0603FR-07100RL
R801,True,F.SilkS,silkscreen and assembly map,5.1k,RC0603FR-075K1L
R802,True,B.SilkS,silkscreen and assembly map,10k,RC0603FR-0710KL
R803,True,B.SilkS,silkscreen and assembly map,100k,RC0603FR-07100KL
R804,True,B.SilkS,silkscreen and assembly map,1k / DNP,RC0603FR-071KL
RN501,True,B.SilkS,silkscreen and assembly map,2x2k / 1:1 matched,ACASN2001U2001P1AT
TP1001,True,B.SilkS,silkscreen and assembly map,GND,
TP1002,True,B.SilkS,silkscreen and assembly map,USB_5V,
TP1003,True,F.SilkS,silkscreen and assembly map,PACK_P,
TP1004,True,F.SilkS,silkscreen and assembly map,VSYS,
TP1005,False,,assembly reference map / native Fab view,VOUT_5V,
TP1006,True,B.SilkS,silkscreen and assembly map,HOST_3V3,
TP1007,False,,assembly reference map / native Fab view,POWER_EN,
TP1008,True,B.SilkS,silkscreen and assembly map,I2C_SCL,
TP1009,True,B.SilkS,silkscreen and assembly map,I2C_SDA,
TP1010,True,F.SilkS,silkscreen and assembly map,HE_3V0,
TP1011,True,B.SilkS,silkscreen and assembly map,HE_SENSE,
TP1012,True,B.SilkS,silkscreen and assembly map,O2_VMID,
TP1013,False,,assembly reference map / native Fab view,CHG_STAT_N,
TP1014,False,,assembly reference map / native Fab view,QON SERVICE,
U101,True,B.SilkS,silkscreen and assembly map,BQ25895RTWR,BQ25895RTWR
U110,True,B.SilkS,silkscreen and assembly map,TUSB320LAIRWBR,TUSB320LAIRWBR
U111,True,B.SilkS,silkscreen and assembly map,PI3USB9201ZTAEX,PI3USB9201ZTAEX
U112,True,B.SilkS,silkscreen and assembly map,SN74AUP1G74DCUR,SN74AUP1G74DCUR
U113,True,F.SilkS,silkscreen and assembly map,TPS3808G01DBVR,TPS3808G01DBVR
U114,True,B.SilkS,silkscreen and assembly map,TPS22950CQDDCRQ1,TPS22950CQDDCRQ1
U115,False,,assembly reference map / native Fab view,TPS259470ARPWR,TPS259470ARPWR
U201,True,B.SilkS,silkscreen and assembly map,TPS63020DSJR,TPS63020DSJR
U301,True,B.SilkS,silkscreen and assembly map,MAX17048G+,MAX17048G+T10
U302,True,B.SilkS,silkscreen and assembly map,LM66100DCKR,LM66100DCKR
U401,True,B.SilkS,silkscreen and assembly map,ADS122C04IPWR,ADS122C04IPWR
U501,True,F.SilkS,silkscreen and assembly map,TPS7A2030PDBVR,TPS7A2030PDBVR
U502,True,B.SilkS,silkscreen and assembly map,ADS122C04IPWR,ADS122C04IPWR
U701,False,,assembly reference map / native Fab view,TPS61023DRLR,TPS61023DRLR
U702,True,B.SilkS,silkscreen and assembly map,TPS7A2030PDBVR,TPS7A2030PDBVR
U703,True,B.SilkS,silkscreen and assembly map,TXU0202DCUR,TXU0202DCUR
U801,True,B.SilkS,silkscreen and assembly map,LTC2954CTS8-1,LTC2954CTS8-1#TRMPBF
